"nep","rp","estimate","lower","upper"
0.002,1.00200400801603,2.65177082666196,1.43821889115494,4.29868261765456
0.004,1.00401606425703,2.84173615105689,1.68624875347638,4.38592161139074
0.01,1.01010101010101,3.17446594064284,2.11986096824385,4.56992704444985
0.02,1.02040816326531,3.51972689407093,2.54429462355934,4.80168853388935
0.04,1.04166666666667,3.99524873671201,3.09870087625573,5.17051083613823
0.05,1.05263157894737,4.18888247670952,3.31390855062224,5.33935586558739
0.1,1.11111111111111,4.99034011571718,4.09483815021347,6.15784878192712
0.15,1.17647058823529,5.68045114122534,4.70125429507777,6.96112379917952
0.2,1.25,6.33929337128625,5.24177097160256,7.76328199898225
0.25,1.33333333333333,6.9994239609986,5.75575606111503,8.6035356949689
0.3,1.42857142857143,7.68088518373469,6.27863996871212,9.48616380753266
0.35,1.53846153846154,8.39988902100452,6.82530394115726,10.4126409281634
0.4,1.66666666666667,9.17233623650901,7.41384489590349,11.4171433032321
0.45,1.81818181818182,10.0160084645242,8.05298086548996,12.5318813660619
0.5,2,10.952637454287,8.75464603977407,13.7739312069711
0.55,2.22222222222222,12.0105480039242,9.54081299229145,15.1944477953784
0.6,2.5,13.2286753965642,10.4520532149811,16.8274243402504
0.65,2.85714285714286,14.6633539564521,11.4869604495748,18.8016897582793
0.7,3.33333333333333,16.4008173579516,12.7262448954089,21.2227090729865
0.75,4,18.582434652899,14.234924470957,24.4191023672431
0.8,5,21.4619087910781,16.1079911807023,28.8547777309353
0.85,6.66666666666667,25.5575843630845,18.6512420519112,35.5887538847624
0.9,10,32.1731982072654,22.3109508113963,47.7075238793548
0.95,20,46.2526907905398,28.7379291884839,78.4973015878668
0.96,25,51.6675112892579,30.904394570867,91.980933506882
0.98,50,71.8405373167194,37.9141358608775,150.719275221707
0.99,99.9999999999999,98.2070842571864,45.2301647484434,244.693424474559
0.996,250,145.618462309362,56.067058668067,462.218595881066
0.998,500,193.953354361982,64.650152608313,743.024571078208
