"hour","2yr","5yr","10yr","25yr","50yr","100yr"
1,0.447732499999999,0.602644166666665,0.719772499999998,0.887908333333331,1.02770666666666,1.23173666666666
2,0.542927499999999,0.730775833333333,0.872807499999999,1.07669166666667,1.24621333333333,1.49362333333333
3,0.590722500000002,0.795107500000003,0.949642500000004,1.171475,1.35592000000001,1.62511000000001
4,0.6385175,0.859439166666667,1.0264775,1.26625833333333,1.46562666666667,1.75659666666667
5,0.70626,0.950619999999999,1.13538,1.4006,1.62112,1.94296
6,0.801850000000001,1.07928333333333,1.28905,1.59016666666667,1.84053333333334,2.20593333333334
7,0.897440000000002,1.20794666666667,1.44272,1.77973333333334,2.05994666666667,2.46890666666667
8,0.993029999999996,1.33660999999999,1.59638999999999,1.96929999999999,2.27935999999999,2.73187999999999
9,1.25452,1.68857333333334,2.01676000000001,2.48786666666668,2.87957333333335,3.45125333333335
10,1.598565,2.151655,2.569845,3.17015,3.66928,4.39773999999999
11,2.48771,3.34843666666667,3.99923,4.93343333333333,5.71018666666667,6.84382666666666
12,18.213055,24.5146183333334,29.279215,36.1187166666667,41.8054933333334,50.1051133333334
13,7.28143000000004,9.80074333333338,11.7055900000001,14.4399666666667,16.7134933333334,20.0316133333334
14,2.33919,3.14853,3.76047,4.63890000000001,5.36928000000001,6.43524000000001
15,1.609625,2.16654166666667,2.587625,3.19208333333334,3.69466666666667,4.42816666666667
16,1.273085,1.71356166666667,2.046605,2.52468333333333,2.92218666666666,3.50232666666666
17,1.0406275,1.40067583333334,1.6729075,2.06369166666667,2.38861333333334,2.86282333333334
18,0.917782499999999,1.2353275,1.4754225,1.820075,2.10664,2.52487
19,0.798097499999998,1.0742325,1.2830175,1.582725,1.83191999999999,2.19560999999999
20,0.682362499999999,0.918454166666665,1.0969625,1.35320833333333,1.56626666666666,1.87721666666666
21,0.605140000000002,0.814513333333336,0.972820000000003,1.20006666666667,1.38901333333334,1.66477333333334
22,0.585389999999999,0.787929999999998,0.941069999999998,1.1609,1.34368,1.61044
23,0.557147500000002,0.749915833333336,0.895667500000003,1.10489166666667,1.27885333333334,1.53274333333334
24,0.537792499999999,0.723864166666665,0.864552499999998,1.06650833333333,1.23442666666666,1.47949666666666
